Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Antiochus/Andovk/Anduk/ Siwni,Անդովկ [andovk] / Անդուկ [anduk],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 348 – 349.","Lord of Siwnikʿ, father of Pʿaṙanjem and father-in-law of Aršak II, kinsman of the Mamikonean that accompanied Pʿaṙēn and Nersēs I to their consecration at Caesaria, was an ambassador to the Byzantine court. Governor of Armenia in the interregnum before the accession of Aršak III. He is also shown as provoking the thirty years' war between Armenia and Persia to the ultimate destruction of the Armenian kingdom, especially Siwnikʿ, his principality"
Apakan vsemakan,Ապական Վսեմական [apakan vsemakan],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 349.",Persian commander defeated and killed by Vasak Mamikonean
Arcruni (house),Արծրունի [arcruni],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 350.","Great naχarar family descended from Orontids and dynasts of Sophenē. They ruled over the district of Ałbak in the upper valley of the Great Zab with their center at Hadamakert. In Buzandaran, the role of Arcruni is relatively negative after the survival and vengeance of Šawasp for the massacre of his kinsmen, as it then centers at the career of the archtraitor Meružan"
Arianos/Arius of Alexandria,Արիանոս Աղէքսանդրացի [arianos ałēkʿsandracʿi],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 350.","The great heresiarch condemned at the First Council of Nicaea in 325, where St. James of Nisibis revealed his visions"
Aristakes/Aristakēs/Ṙstakēs,Արիստակես [aristakes]/ Արիստակէս [aristakēs],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 351.","Younger son and immediate successor of Gregory the Illuminator as primate of Greater Armenia. Attendant of the Council in Nicaea, representing Armenia. Was buried either at Gregory's domain in Tʿil in Ekełeacʿ (3rd book, ch. 2) or near the church in Tʿordan of Daranałikʿ (3rd book, ch. 14)"
Aršak II,Արշակ [aršak],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 352 – 353.","King of Armenia (Tiran's successor), major protagonist of Buzandaran Patmutʿyunkʿ. On the one hand, he is the ""true lord"" of Armenia, a Christian king opposed to rebellious naχarars, having showed valor in the Persian war. On the other hand, he is condemned for the construction of the evil city of Aršakawan and his nephew Gnel's murder. Married to the Roman Olympias and Pʿaṙanjem of Siwnikʿ (mother of his successor Pap).His growing disagreement with the Armenian church led to the departure and exile of St. Nersēs, the patriarch. His attempt to maneuver between Rome and Persia ended in his overthrow and captivity after Jovian's peace of 363"
Aršak III,Արշակ [aršak],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 353 – 354.","Elder son of king Pap and queen Zarmanduχt, enthroned with his brother Vałaršak under the regency of their mother by the sparapet (commander-in-chief) Manul Mamikonean, who gave him his daughter Vardanduχt in marriage. When Persians (under king Šāhpuhr III) attacked Armenia, he fled to Ekełeacʿ, where he ruled after the partition of Armenia between Rome and the Persians and died soon thereafter"
Aršakuni/Arsacids,Արշակունի [ršakuni],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 354 – 355.","Armenian ruling dynasty of the 4th century, junior branch of the Parthian royal house of Iran. First appeared in Armenia in 12 AD (king of kings Vonones). The overthrow of the senior branch in Iran in 224 led to the blood feud between the junior Armenian branch and the new Sasanian dynasty. Deeply iranized in ethos and manners, Arsacids were still dependent on Rome and aligned their policy with Constantinople against Persia, also followed Arianizig policies of Constantine I's successors, causing conflicts with Armenian church under orthodox Gregorid patriarchs (though Aršakuni often married into the patriarchal house)"
Aršawir Kamsarakan,Արշաւիր [aršawir],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 356.","Nahapet (the head) of the Kamsarakan house, lord of Širak and Aršarunikʿ; son-in-law of the Mamikonean. He accompanied the patriarchs Pʿaṙēn and Nersēs I to the consecration at Caesaria. After the imprisonment of king Tiran, he was sent with Andovk Siwni to seek the help of the Byzantine court and was installed as governor of Armenia by the emperor in the interregnum preceding the return of the Aršakuni heir Aršak II"
Artašēs/Artašēn Mamikonean,Արտաշէն [artašēn] / Արտաշինայ [artašinay],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 356 – 357.","Sepuh (noble member) of the Mamikonean house,  father of the sparapet (commander-in-chief) Manuēl Mamikonean and of his brother Koms"
Artašēs/Artašir Mamikonean,Արտաշէս [artašēs] / Արտաշիր [artašir],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 357.","Sepuh (noble member) of the Mamikonean house, son of Manuēl Mamikonean, whom he succeeded as sparapet (commander-in-chief)"
Artawan V/Artewan,Արտեւան [artewan],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 357 – 358.","Last Parthian king of Iran from the Aršakuni senior line, defeated and killed by the Sasanian Ardašīr I ca. 224. Armenian Arsacids regarded Artewan as their kinsman and Ardašīr (who started the new Sasanian dynasty after the murder) as an usurper"
Artawan of Vanand,Արտաւան [artawan],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 358.",Prince of Vanand  and presumed successor of Vorotʿ. He was sent together with some princes to bring Daniēl to king Tiran for further consecration
Artawazd I Mamikonean,Արտաւազդ [artawazd],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 358.","First attested sparapet (commander-in-chief) of Greater Armenia, father of his successor Vačʿē I Mamikonean"
Artawazd II Mamikonean,Արտաւազդ [artawazd],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 358 – 359.","Sepuh (noble member) of the Mamikonean house, son of the sparapet (commander-in-chief) Vačʿē I. He inherited this office as a child, shared it with his kinsman Vasak. He probably reached maturity by the end of Tiran's reign, since his daughters are presumably referred to"
Artawazd III Mamikonean,Արտաւազդ [artawazd],P'awst.Buz. Hist.Arm.,4th,V,,"«История Армении» Фавстоса Бузанда. Пер. с др.-арм. и коммент. М.А. Геворгяна, под ред. С.Т. Еремяна, вступит. ст. Л.С. Хачикяна. Ереван, 1953. 

The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 359.","Sepuh (noble member) of the Mamikonean house, son of Vačʿē II, who distinguished himself despite his extreme youth at the final defeat of Meruž an Arcruni in which his father was killed"
"Artitʿ, Artitʿēs",Արտիթ [artitʿ],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 359.","Bishop of Basean. He may be identified with Artitʿēs, the eighth disciple of Gregory the Illuminator (according to Agatʿangełos)"
Artoyt,Արտոյտ [artoyt],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 359.",Hermit and disciple of St. Gind
Aspurak of Manazkert,Ասպուրակ [aspurak],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 360.","Patriarch (senior bishop) of Armenia, one of the descendants descendants of Bishop Ałbianos of Manazkert. Kinsman of Zawēn and Šahak/Yusik"
Asurk,Ասուրկ [asurk] / Ասրկոյ [asrkoy],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 360.",Son-in-law and successor of Xad of Marag as bishop of Bagrewand and Aršarunikʿ
Atʿanaginēs,Աթանագինէս [atʿanaginēs],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 360 – 361.","Son of the patriarch Yusik I, great-grandson of Gregory the Illuminator, father of St. Nersēs. With his twin-brother Pap, he was considered to be unworthy to assume the patriarchal office of his family. They both rejected it in favor of military careers. It led to the first temporary hiatus in the hereditary transmision of the patriarchate in the Gregorid house"
Atom/Atam of Gołtʿn,Ատոմ [atom] /Ատամ [atam],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 361.","Armenian naχarar (nobleman), prince of Gołtʿn that was sent with other princes to Caesaria to consecrate Yusik (I) as a patriarch"
Aycemnik/Tabitha/Dorcas,Այծեմնիկ [aycemnik],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 361.","Early disciple of Christ, known for her ""good work and acts of mercy"", resurrected by St. Peter after her death. Her story (from the Acts of Apostles) is told by Nersēs I when preaching. Aycemnik is the Armenian form of her name Tabitha/Dorcas"
Babik Siwni,Բաբիկ [babik],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 361 – 362.","Nahapet (the head) of the house of Siwnikʿ who survived the Persian massacre and returned to regain his domain with the help of the sparapet (commander-in-chief) Manuēl Mamikonean. As Manuēl 's companion-in-arms, Babik helped him to kill the traitor Meružan Arcruni"
Bagean (house),Բագեան [bagean] /Բագէնից [bagēnicʿ],P'awst.Buz. Hist.Arm.,4th,V,,"The Epic Histories Attributed to Pʽawstos Buzand / Translation and Commentary by Nina G. Garsoїan. Cambridge, Massachusetts, 1989. P. 362.",Naχarar (noble) family. The only member mentioned is Kiškēn accompanying Nersēs I on his embassy to the Byzantine court in 358
